estado,anio,periodo,fecha,metric,indicador,fuente,valor
Estados Unidos Mexicanos,2024,9 Meses,2024-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2906842.0
Estados Unidos Mexicanos,2024,Anual,2024-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2935881.0
Estados Unidos Mexicanos,2025,T1P,2025-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,2905460.0
Estados Unidos Mexicanos,2025,T2,2025-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,0.0
Estados Unidos Mexicanos,2025,T3,2025-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,0.0
Estados Unidos Mexicanos,2025,T4,2025-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,0.0
Estados Unidos Mexicanos,2025,6 Meses,2025-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,0.0
Estados Unidos Mexicanos,2025,9 Meses,2025-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,0.0
Estados Unidos Mexicanos,2025,Anual,2025-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,0.0
Aguascalientes,2005,T1,2005-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,12771.0
Aguascalientes,2005,T2,2005-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,13707.0
Aguascalientes,2005,T3,2005-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,13518.0
Aguascalientes,2005,T4,2005-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14581.0
Aguascalientes,2005,6 Meses,2005-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,13239.0
Aguascalientes,2005,9 Meses,2005-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,13332.0
Aguascalientes,2005,Anual,2005-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,13644.0
Aguascalientes,2006,T1,2006-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14016.0
Aguascalientes,2006,T2,2006-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14007.0
Aguascalientes,2006,T3,2006-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,13627.0
Aguascalientes,2006,T4,2006-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15183.0
Aguascalientes,2006,6 Meses,2006-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14012.0
Aguascalientes,2006,9 Meses,2006-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,13883.0
Aguascalientes,2006,Anual,2006-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14208.0
Aguascalientes,2007,T1,2007-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15523.0
Aguascalientes,2007,T2,2007-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15280.0
Aguascalientes,2007,T3,2007-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14206.0
Aguascalientes,2007,T4,2007-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14583.0
Aguascalientes,2007,6 Meses,2007-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15402.0
Aguascalientes,2007,9 Meses,2007-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15003.0
Aguascalientes,2007,Anual,2007-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14898.0
Aguascalientes,2008,T1,2008-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14435.0
Aguascalientes,2008,T2,2008-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14881.0
Aguascalientes,2008,T3,2008-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15175.0
Aguascalientes,2008,T4,2008-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15625.0
Aguascalientes,2008,6 Meses,2008-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14658.0
Aguascalientes,2008,9 Meses,2008-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14830.0
Aguascalientes,2008,Anual,2008-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15029.0
Aguascalientes,2009,T1,2009-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14235.0
Aguascalientes,2009,T2,2009-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14493.0
Aguascalientes,2009,T3,2009-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15414.0
Aguascalientes,2009,T4,2009-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15279.0
Aguascalientes,2009,6 Meses,2009-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14364.0
Aguascalientes,2009,9 Meses,2009-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14714.0
Aguascalientes,2009,Anual,2009-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,14855.0
Aguascalientes,2010,T1,2010-03-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15086.0
Aguascalientes,2010,T2,2010-06-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15238.0
Aguascalientes,2010,T3,2010-09-30,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15942.0
Aguascalientes,2010,T4,2010-12-31,Unidades,puestos_trabajo_comercio_informal,MEITEF_144.xlsx,15818.0
